ETANOL HIDRATADO (m3),2001,PARANÁ,m3,1,35205.734,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2001,RIO GRANDE DO SUL,m3,1,14380.022,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2001,SANTA CATARINA,m3,1,14200.132,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,DISTRITO FEDERAL,m3,1,8612.889,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,GOIÁS,m3,1,13806.119,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,MATO GROSSO,m3,1,4037.533,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,MATO GROSSO DO SUL,m3,1,4954.234,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,ALAGOAS,m3,1,1833.789,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,BAHIA,m3,1,5265.039,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,CEARÁ,m3,1,3883.705,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,MARANHÃO,m3,1,881.07,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,PARAÍBA,m3,1,1720.125,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,PERNAMBUCO,m3,1,3689.431,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,PIAUÍ,m3,1,1728.894,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,RIO GRANDE DO NORTE,m3,1,1746.511,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,SERGIPE,m3,1,1764.635,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,ACRE,m3,1,310.475,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,AMAPÁ,m3,1,94.0,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,AMAZONAS,m3,1,789.37,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,PARÁ,m3,1,831.836,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,RONDÔNIA,m3,1,958.081,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,RORAIMA,m3,1,79.0,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,TOCANTINS,m3,1,936.554,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,ESPÍRITO SANTO,m3,1,3532.373,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,MINAS GERAIS,m3,1,27588.212,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,RIO DE JANEIRO,m3,1,9921.442,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,SÃO PAULO,m3,1,117060.054,2019-12-24 13:19:21.764196
ETANOL HIDRATADO (m3),2002,PARANÁ,m3,1,34146.63,2019-12-24 13:19:21.764196
